Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
Tang.N2.TAP__Tang.parn1.TAP,0/51 (0.0%),0.65/51 (1.27%),0.0,0.5200231479449895,0.9999999999998442,1.0,-1000.0,0.2839773240555347,6.764757177871836e-14
Tang.N2__Tang.prg1,1/51 (1.96%),1.5/51 (2.94%),0.6666666666666666,0.555247313637995,0.9999999999998442,1.0,-0.5849625007211563,0.2555135339501637,6.764757177871836e-14
Tang.N2.r2__Tang.parn1.r2,0/51 (0.0%),0.54/51 (1.07%),0.0,0.5782120603292327,0.9999999999998442,1.0,-1000.0,0.2379128540700461,6.764757177871836e-14
Lee.N2.051611__Lee.glh4.051611,0/51 (0.0%),0.49/51 (0.97%),0.0,0.6086964773989996,0.9999999999998442,1.0,-1000.0,0.21559921155503023,6.764757177871836e-14
Conine.N2.fog2.20C.male__Conine.alg34.20C.male,0/51 (0.0%),0.42/51 (0.83%),0.0,0.6543106270179022,0.9999999999998442,1.0,-1000.0,0.18421602602938547,6.764757177871836e-14
Lee.N2_for_damt1.052517__Lee.damt1.052517,0/51 (0.0%),0.41/51 (0.8%),0.0,0.6646615032636962,0.9999999999998442,1.0,-1000.0,0.17739947453458926,6.764757177871836e-14
Tang.N2__Tang.parn1,0/51 (0.0%),0.36/51 (0.71%),0.0,0.6945055435419746,0.9999999999998442,1.0,-1000.0,0.1583242833747727,6.764757177871836e-14
Lee.N2.L4.080816__Lee.BA23.080816,0/51 (0.0%),0.3/51 (0.58%),0.0,0.7433006254301953,0.9999999999998442,1.0,-1000.0,0.1288355017715584,6.764757177871836e-14
Lee.N2_for_glh.052517__Lee.FGglh1.052517,0/51 (0.0%),0.26/51 (0.52%),0.0,0.7669401509457785,0.9999999999998442,1.0,-1000.0,0.11523852539669226,6.764757177871836e-14
Lee.46_27__Lee.2_4,0/51 (0.0%),0.23/51 (0.46%),0.0,0.790491653800651,0.9999999999998442,1.0,-1000.0,0.10210271109224948,6.764757177871836e-14
WAGO9IP.gfp_cdk1__WAGO9Input.gfp_cdk1,1/51 (1.96%),0.79/51 (1.55%),1.2634338138925294,0.812484973646601,0.9999999999998442,1.0,0.33735008939543104,0.09018466225396139,6.764757177871836e-14
Tang.N2__Tang.prg1.parn1,2/51 (3.92%),1.48/51 (2.91%),1.347309573724668,0.8147526627064503,0.9999999999998442,1.0,0.4300813795032939,0.08897421153562744,6.764757177871836e-14
Lee.N2_for_glh.052517__Lee.EAglh1.052517,1/51 (1.96%),0.76/51 (1.48%),1.3223593964334706,0.8251397257519624,0.9999999999998442,1.0,0.4031143319030246,0.08347250358954521,6.764757177871836e-14
Lee.N2.r2__Lee.glh4.r2,1/51 (1.96%),0.73/51 (1.44%),1.3635077793493635,0.8332474813570926,0.9999999999998442,1.0,0.4473229314205628,0.07922599039994926,6.764757177871836e-14
Lee.N2.r1__Lee.glh4.r1,1/51 (1.96%),0.73/51 (1.43%),1.3693181818181819,0.834347689566137,0.9999999999998442,1.0,0.4534577175926644,0.07865293234390346,6.764757177871836e-14
Lee.N2.L4.080816__Lee.fer2.r1.080816,0/51 (0.0%),0.16/51 (0.32%),0.0,0.8511861329609506,0.9999999999998442,1.0,-1000.0,0.06997546026941685,6.764757177871836e-14
Lee.flagprg1.r2__Lee.flagprg1da.r2,1/51 (1.96%),0.56/51 (1.11%),1.7720588235294117,0.89056368073578,0.9999999999998442,1.0,0.8254264949796222,0.05033502038564952,6.764757177871836e-14
Lee.N2.L4.080816__Lee.BA6.080816,2/51 (3.92%),1.11/51 (2.18%),1.7968313140726935,0.8998781176389596,0.9999999999998442,1.0,0.8454549754734398,0.04581630880664782,6.764757177871836e-14
Lee.N2.r2__Lee.21ur1349.del.tm6101.r2,0/51 (0.0%),0.1/51 (0.2%),0.0,0.9022595991707107,0.9999999999998442,1.0,-1000.0,0.04466848877004115,6.764757177871836e-14
Lee.N2.r2__Lee.21ur1349.del.tm6108.r2,0/51 (0.0%),0.1/51 (0.2%),0.0,0.9022595991707107,0.9999999999998442,1.0,-1000.0,0.04466848877004115,6.764757177871836e-14
WAGO1IP__WAGO1Input,3/51 (5.88%),1.75/51 (3.43%),1.7153024911032027,0.9028753341958047,0.9999999999998442,1.0,0.7784630160090353,0.04437221137920338,6.764757177871836e-14
Lee.N2.r1__Lee.21ur1349.del.tm6101.r1,0/51 (0.0%),0.1/51 (0.2%),0.0,0.904138155084502,0.9999999999998442,1.0,-1000.0,0.043765202924502575,6.764757177871836e-14
Lee.N2.r1__Lee.21ur1349.del.tm6108.r1,0/51 (0.0%),0.1/51 (0.19%),0.0,0.9069631808750075,0.9999999999998442,1.0,-1000.0,0.042410343223676254,6.764757177871836e-14
Lee.flagprg1.r1__Lee.flagprg1da.r1,1/51 (1.96%),0.49/51 (0.97%),2.0252100840336134,0.9125065782530254,0.9999999999998442,1.0,1.018071572922018,0.03976399603456518,6.764757177871836e-14
Lee.N2__Lee.cdkgfp,0/51 (0.0%),0.09/51 (0.17%),0.0,0.9164425758300221,0.9999999999998442,1.0,-1000.0,0.037894742683728715,6.764757177871836e-14
Lee.L4440.052517__Lee.SNPC4.052517,0/51 (0.0%),0.08/51 (0.16%),0.0,0.9202614713967587,0.9999999999998442,1.0,-1000.0,0.036088760207553895,6.764757177871836e-14
Lee.N2__Lee.46_23,0/51 (0.0%),0.08/51 (0.16%),0.0,0.9212186304097136,0.9999999999998442,1.0,-1000.0,0.0356372875963019,6.764757177871836e-14
Lee.N2__Lee.46_27,0/51 (0.0%),0.08/51 (0.16%),0.0,0.9221767654183992,0.9999999999998442,1.0,-1000.0,0.03518582418741616,6.764757177871836e-14
Lee.L4440.052517__Lee.NPP7.052517,0/51 (0.0%),0.08/51 (0.15%),0.0,0.9250570361764053,0.9999999999998442,1.0,-1000.0,0.033831489171205646,6.764757177871836e-14
WAGO9IP.oma1_gfp__WAGO9Input.oma1_gfp,2/51 (3.92%),0.97/51 (1.9%),2.0620320855614973,0.9270209791632171,0.9999999999998442,1.0,1.0440667814549627,0.03291043734231679,6.764757177871836e-14
Tang.PRG1IP.parn1__Tang.Input.parn1,0/51 (0.0%),0.07/51 (0.14%),0.0,0.930844061540971,0.9999999999998442,1.0,-1000.0,0.031123067552038954,6.764757177871836e-14
WAGO9IP.cdk1_gfp__WAGO9Input.cdk1_gfp,2/51 (3.92%),0.92/51 (1.8%),2.1785310734463277,0.93589756315359,0.9999999999998442,1.0,1.1233556912596019,0.02877168351799634,6.764757177871836e-14
Lee.N2.L4.080816__Lee.fer2.r2.080816,2/51 (3.92%),0.91/51 (1.79%),2.1859410430839,0.9364130221544652,0.9999999999998442,1.0,1.128254490672441,0.02853255545116827,6.764757177871836e-14
Lee.N2_for_glh.052517__Lee.glh1.052517,2/51 (3.92%),0.91/51 (1.78%),2.2084765177548684,0.9379475694900705,0.9999999999998442,1.0,1.1430514926005217,0.027821437652443035,6.764757177871836e-14
Lee.N2.adult.080816__Lee.glh1.glh4.adult.080816,1/51 (1.96%),0.4/51 (0.79%),2.4974093264248705,0.9390591648507282,0.9999999999998442,1.0,1.3204322989618813,0.027307044412558986,6.764757177871836e-14
Tang.PRG1IP.N2__Tang.Input.N2,0/51 (0.0%),0.05/51 (0.09%),0.0,0.9543491877963691,0.9999999999998442,1.0,-1000.0,0.020292691767624698,6.764757177871836e-14
Conine.N2.fog2.25C.male__Conine.alg34.25C.male,2/51 (3.92%),0.77/51 (1.51%),2.601889338731444,0.9583475678997965,0.9999999999998442,1.0,1.3795596039241278,0.01847695496592026,6.764757177871836e-14
Tang.parn1__Tang.prg1.parn1,4/51 (7.84%),1.53/51 (3.0%),2.6124661246612466,0.9818190160490972,0.9999999999998442,1.0,1.3854123301695656,0.00796856066025481,6.764757177871836e-14
DA1316__csr1.DA1316,5/51 (9.8%),2.03/51 (3.98%),2.4642126789366054,0.9846356422267891,0.9999999999998442,1.0,1.3011267761650902,0.0067244475168967135,6.764757177871836e-14
Lee.N2.051611__Lee.glh1.050611,3/51 (5.88%),0.9/51 (1.76%),3.339491916859122,0.9875844399983331,0.9999999999998442,1.0,1.7396286222243929,0.005425761263492645,6.764757177871836e-14
Lee.SRA.N2__Lee.SRA.prg1Mut.N2,7/51 (13.73%),2.82/51 (5.53%),2.4827078734363504,0.9934464679850022,0.9999999999998442,1.0,1.3119145175201745,0.0028555299483142105,6.764757177871836e-14
Shir.WAGO9IP__Shir.Input.WAGO9IP,3/51 (5.88%),0.58/51 (1.14%),5.1550802139037435,0.9972572905580426,0.9999999999998442,1.0,2.365994876342325,0.0011927800494045992,6.764757177871836e-14
Gu.wt.r1__Gu.mago12,8/51 (15.69%),2.59/51 (5.08%),3.0885062074489387,0.9990274447174988,0.9999999999998442,1.0,1.6269092303017494,0.00042258091751279673,6.764757177871836e-14
Lee.N2.051611__Lee.prg1.sx922,8/51 (15.69%),2.52/51 (4.94%),3.173662551440329,0.9991977363505099,0.9999999999998442,1.0,1.6661487377368183,0.00034855851261995295,6.764757177871836e-14
Lee.N2_for_glh.052517__Lee.glh1.glh4.052517,6/51 (11.76%),1.09/51 (2.14%),5.492877492877493,0.9998967789964613,0.9999999999998442,1.0,2.4575621159254006,4.4830626024264426e-05,6.764757177871836e-14
Gu.wt.r1__Gu.drh3.r1,14/51 (27.45%),3.68/51 (7.22%),3.803833145434048,0.9999980872874173,0.9999999999998442,1.0,1.927453963986502,8.306813145403893e-07,6.764757177871836e-14
Lee.46_23__Lee.5_3,12/51 (23.53%),2.02/51 (3.96%),5.938398357289528,0.9999999336395605,0.9999999999998442,1.0,2.570073874868776,2.881997363771564e-08,6.764757177871836e-14
Gu.wt.r2__Gu.drh3.r2,17/51 (33.33%),3.74/51 (7.33%),4.5496946141032755,0.9999999905796613,0.9999999999998442,1.0,2.1857697115740247,4.091201147934619e-09,6.764757177871836e-14
CSR1IP.oma1_gfp__CSR1Input.oma1_gfp,15/51 (29.41%),2.83/51 (5.54%),5.308370044052864,0.999999991531631,0.9999999999998442,1.0,2.408268943826409,3.677765945612411e-09,6.764757177871836e-14
CSR1IP.cdk1_gfp__CSR1Input.cdk1_gfp,15/51 (29.41%),2.7/51 (5.29%),5.561538461538462,0.9999999956257722,0.9999999999998442,1.0,2.4754840239226636,1.899702981949485e-09,6.764757177871836e-14
DA1316__ego1,22/51 (43.14%),5.09/51 (9.98%),4.3202281523731925,0.9999999998892949,0.9999999999998442,1.0,2.1111075035012106,4.8078619151728494e-11,6.764757177871836e-14
DA1316__Gu.ekl1,23/51 (45.1%),5.55/51 (10.89%),4.140429505135388,0.9999999999118397,0.9999999999998442,1.0,2.0497804326493565,3.828751308459945e-11,6.764757177871836e-14
CSR1IP.gfp_cdk1__CSR1Input.gfp_cdk1,21/51 (41.18%),3.8/51 (7.45%),5.525109170305677,0.9999999999972806,0.9999999999998442,1.0,2.466002970911778,1.1810118482894164e-12,6.764757177871836e-14
WT__glp4,27/51 (52.94%),6.11/51 (11.98%),4.418265150229163,0.999999999999823,0.9999999999998442,1.0,2.1434800007308055,7.685689908430378e-14,6.764757177871836e-14
CSR1IP.N2__N2,25/51 (49.02%),5.06/51 (9.92%),4.942575881870385,0.9999999999998442,0.9999999999998442,1.0,2.305263115384474,6.764757177871836e-14,6.764757177871836e-14
